DETLOC,Name,OrigName,County,State
SANJAIL,SANGAMON COUNTY JAIL,SANGAMON COUNTY JAIL,SANGAMON,IL
SBDHOLD,SAN BERNADINO HOLD ROOM,SAN BERNADINO HOLD ROOM,SAN BERNARDINO,CA
SCOTTMO,SCOTT COUNTY JAIL,SCOTT COUNTY JAIL,SCOTT,MO
SDHOSCA,SAN DIEGO AREA HOSPITAL,SAN DIEGO AREA HOSPITAL,SAN DIEGO,CA
SEBASAR,SEBASTIAN COUNTY DETENTION CENTER,SEBASTIAN COUNTY DETENTION CENTER,SEBASTIAN,AR
SENECOH,SENECA COUNTY JAIL,SENECA COUNTY JAIL,SENECA,OH
SFRHOLD,san francisco HOLD ROOM,SFR HOLD ROOM,SAN FRANCISCO,CA
SHACOKS,SHAWNEE COUNTY DEPARTMENT OF CORRECTIONS,SHAWNEE COUNTY DEPARTMENT OF CORRECTIONS,SHAWNEE,KS
SHERBMN,SHERBURNE COUNTY JAIL,SHERBURNE COUNTY JAIL,SHERBURNE,MN
SLRDCAZ,SAN LUIS REGIONAL DETENTION CENTER,SAN LUIS REGIONAL DETENTION CENTER,YUMA,AZ
SLSLCUT,SALT LAKE COUNTY METRO JAIL,SALT LAKE COUNTY METRO JAIL,SALT LAKE,UT
SNAHOLD,SAN ANTONIO HOLD ROOM,SAN ANTONIO DRO HOLD ROOM,BEXAR,TX
SNDCOCA,SAN DIEGO COUNTY JAIL,SAN DIEGO COUNTY JAIL,SAN DIEGO,CA
SNDHOLD,SAN DIEGO DISTRICT STAGING,SAN DIEGO DISTRICT STAGING,SAN DIEGO,CA
STCDFTX,SOUTH TEXAS DETENTION COMPLEX,SOUTH TEXAS DETENTION COMPLEX,FRIO,TX
STCLAMI,SAINT CLAIR COUNTY JAIL,SAINT CLAIR COUNTY JAIL,SAINT CLAIR,MI
STFRCTX,SOUTH TEXAS FAMILY RESIDENTIAL CENTER,SOUTH TEXAS FAMILY RESIDENTIAL CENTER,FRIO,TX
STORYIA,STORY COUNTY JAIL,STORY COUNTY JAIL,STORY,IA
STRAFNH,STRAFFORD COUNTY CORRECTIONS,STRAFFORD COUNTY CORRECTIONS,STRAFFORD,NH
STTAMLA,SAINT TAMMANY PARISH JAIL,SAINT TAMMANY PARISH JAIL,SAINT TAMMANY,LA
STWRTGA,STEWART DETENTION CENTER,STEWART DETENTION CENTER,STEWART,GA
SUFFOMA,SUFFOLK COUNTY HOUSE OF CORRECTIONS,SUFFOLK COUNTY HOUSE OF CORRECTIONS,SUFFOLK,MA
TELLECO,TELLER COUNTY JAIL,TELLER COUNTY JAIL,TELLER,CO
TENSALA,TENSAS PARISH DETENTION CENTER,TENSAS PARISH DETENTION CENTER,TENSAS,LA
TLACYCA,THEO LACY FACILITY,THEO LACY FACILITY,ORANGE,CA
TNWESDF,WESTERN TENNESSEE DETENTION FACILITY,WESTERN TENNESSEE DETENTION FACILITY,TIPTON,TN
TOOELUT,TOOELE COUNTY JAIL,TOOELE COUNTY JAIL,TOOELE,UT
TOORANM,TORRANCE COUNTY DETENTION FACILITY,TORRANCE COUNTY DETENTION FACILITY,TORRANCE,NM
TRICOIL,TRI-COUNTY DETENTION CENTER,TRI-COUNTY DETENTION CENTER,PULASKI,IL
TUCHOLD,TUCSON INS HOLD ROOM,TUCSON INS HOLD ROOM,PIMA,AZ
TULCOOK,TULSA COUNTY JAIL,TULSA COUNTY JAIL (DAVID L. MOSS JUSTICE CTR),TULSA,OK
USMS3TX,US MARSHALS SOUTH DISTRICT,"US MARSHALS (SOUTH DISTRICT, TEXAS)",HIDALGO,TX
UTAHCUT,UTAH COUNTY JAIL,UTAH COUNTY JAIL,UTAH,UT
VALVETX,VAL VERDE CORRECTIONAL FACILITY,VAL VERDE CORRECTIONAL FACILITY,VAL VERDE,TX
VBHOSTX,VALLEY BAPTIST HOSPITAL,VALLEY BAPTIST HOSPITAL,CAMERON,TX
VENHOLD,VENTURA CUSTODY CASE,VENTURA CUSTODY CASE,VENTURA,CA
VPREGVA,VIRGINIA PENINSULA REGIONAL JAIL,VIRGINIA PENINSULA REGIONAL JAIL,JAMES CITY,VA
VRK,VARICK STREET DETENTION CENTER,VARICK STREET DETENTION CENTER,NEW YORK,NY
VTSTALB,NORTHWEST STATE CORRECTIONAL CENTER,NORTHWEST STATE CORRECTIONAL CENTER,FRANKLIN,VT
VVGMCCA,VICTOR VALLEY GLOBAL Medical CENTER,VICTOR VALLEY GLOBAL MED CENTER,COUNTY,CA
WACLATX,CENTRAL TEXAS DETENTION FACILITY,CENTRAL TEXAS DETENTION FACILITY,BEXAR,TX
WAJAIMN,WASHINGTON COUNTY JAIL,WASHINGTON COUNTY JAIL,WASHINGTON,MN
WAKECNC,WAKE COUNTY SHERIFF DEPARTMENT,WAKE COUNTY SHERIFF DEPARTMENT,WAKE,NC
WAKULFL,WAKULLA COUNTY JAIL,WAKULLA COUNTY JAIL,WAKULLA,FL
WASHCUT,PURGATORY CORRECTIONAL FACility,WASHINGTON COUNTY JAIL (PURGATORY CORRECTIONAL FAC,WASHINGTON,UT
WASHOLD,WASHINGTON FIELD OFFICE,WASHINGTON FIELD OFFICE,FAIRFAX,VA
WASHONV,WASHOE COUNTY JAIL,WASHOE COUNTY JAIL,WASHOE,NV
WAYNENY,WAYNE COUNTY JAIL,WAYNE COUNTY JAIL,WAYNE,NY
WCCPBFL,BROWARD TRANSITIONAL CENTER,BROWARD TRANSITIONAL CENTER,BROWARD,FL
WCRDFTX,WILLACY CO REGIONAL DETENTION FACILITY,WILLACY CO REGIONAL DETENTION FACILITY,WILLACY,TX
WEBDCTX,WEBB COUNTY DETENTION CENTER,WEBB COUNTY DETENTION CENTER (CCA),WEBB,TX
WHITFGA,WHITFIELD COUNTY JAIL,WHITFIELD COUNTY JAIL,WHITFIELD,GA
WORCEMD,WORCESTER COUNTY JAIL,WORCESTER COUNTY JAIL,WORCESTER,MD
WSTMCCA,WESTERN MEDICAL CENTER,WESTERN MEDICAL CENTER,ORANGE,CA
WTXDFTX,WEST TEXAS DETENTION FACILITY,WEST TEXAS DETENTION FACILITY,HUDSPETH,TX
WVSCENT,SOUTH CENTRAL REGIONAL JAIL,SOUTH CENTRAL REGIONAL JAIL,KANAWHA,WV
YAKHOLD,YAKIMA HOLDING ROOM,YAKIMA HOLDING ROOM,YAKIMA,WA
YANCOSD,YANKTON COUNTY JAIL,YANKTON COUNTY JAIL,YANKTON,SD
YIKIMWA,YAKIMA COUNTY DEPARTMENT OF CORRECTIONS,YAKIMA COUNTY DEPARTMENT OF CORRECTIONS,YAKIMA,WA
YORCOPA,YORK COUNTY PRISON,YORK COUNTY PRISON,YORK,PA
YORCOSC,YORK COUNTY DETENTION CENTER,YORK COUNTY DETENTION CENTER,YORK,SC
YUBAJCA,YUBA COUNTY JAIL,YUBA COUNTY JAIL,YUBA,CA
YUMHOLD,YUMA HOLDROOM,YUMA HOLDROOM,YUMA,AZ
west-texas-detention-facility-tornillo-texas-2,West Texas Detention Facility,West Texas Detention Facility,Tornillo,TX
southwest-key-casa-padre-cameron-texas-3,Southwest Key Casa Padre,Southwest Key Casa Padre,Cameron,TX
southwest-key-san-benito-casa-antigua-cameron-texas-4,Southwest Key San Benito Casa Antigua,Southwest Key San Benito/Casa Antigua,Cameron,TX
southwest-key-combes-cameron-texas-5,Southwest Key Combes,Southwest Key Combes,Cameron,TX
southwest-key-el-cajon-san-diego-california-6,Southwest Key El Cajon,Southwest Key El Cajon,San Diego,CA
southwest-key-estrella-del-norte-pima-arizona-7,Southwest Key Estrella del Norte,Southwest Key Estrella del Norte,Pima,AZ
southwest-key-phoenix-1-of-2--casa-lighthouse-maricopa-arizona-8,Southwest Key Casa Lighthouse,Southwest Key Phoenix (1 of 2) - Casa Lighthouse,Maricopa,AZ
southwest-key-casa-phoenix-2-of-2-maricopa-arizona-9,Southwest Key Casa Phoenix,Southwest Key Casa Phoenix (2 of 2),Maricopa,AZ
southwest-key-youngtown--hacienda-del-sol-maricopa-arizona-10,Southwest Key Youngtown Hacienda del Sol,Southwest Key Youngtown - Hacienda del Sol,Maricopa,AZ
southwest-key-glendale-maricopa-arizona-11,Southwest Key Glendale,Southwest Key Glendale,Maricopa,AZ
southwest-key-conroe-montgomery-texas-12,Southwest Key Conroe,Southwest Key Conroe,Montgomery,TX
joe-corley-detention-facility-montgomery-texas-13,Joe Corley Detention Facility,Joe Corley Detention Facility,Montgomery,TX
southwest-key-casa-quetzal-harris-texas-14,Southwest Key Casa Quetzal,Southwest Key Casa Quetzal,Harris,TX
southwest-key-casa-blanca-bexar-texas-15,Southwest Key Casa Blanca,Southwest Key Casa Blanca,Bexar,TX
southwest-key-casa-montezuma-harris-texas-16,Southwest Key Casa Montezuma,Southwest Key Casa Montezuma,Harris,TX
southwest-key-casa-el-presidente-cameron-texas-17,Southwest Key Casa El Presidente,Southwest Key Casa El Presidente,Cameron,TX
southwest-key-casa-grande-cameron-texas-18,Southwest Key Casa Grande,Southwest Key Casa Grande,Cameron,TX
southwest-key-casa-franklin-el-paso-texas-19,Southwest Key Casa Franklin,Southwest Key Casa Franklin,El Paso,TX
southwest-key-nueva-esperanza-cameron-texas-20,Southwest Key Nueva Esperanza,Southwest Key Nueva Esperanza,Cameron,TX
southwest-key-casa-houston-reliant-harris-texas-21,Southwest Key Casa Houston Reliant,Southwest Key Casa Houston Reliant,Harris,TX
southwest-key-shelter-care-el-paso-texas-22,Southwest Key Shelter Care,Southwest Key Shelter Care,El Paso,TX
southwest-key-casita-del-valle-el-paso-texas-23,Southwest Key Casita del Valle,Southwest Key Casita del Valle,El Paso,TX
southwest-key-pleasant-hill-contra-costa-california-24,Southwest Key Pleasant Hill,Southwest Key Pleasant Hill,Contra Costa,CA
southwest-key-las-palmas-maricopa-arizona-25,Southwest Key Las Palmas,Southwest Key Las Palmas,Maricopa,AZ
southwest-key-lemon-grove-san-diego-california-26,Southwest Key Lemon Grove,Southwest Key Lemon Grove,San Diego,CA
southwest-key-la-esperanza-home-for-boys-cameron-texas-27,Southwest Key La Esperanza Home for Boys,Southwest Key La Esperanza Home for Boys,Cameron,TX
southwest-key-campbell-maricopa-arizona-28,Southwest Key Campbell,Southwest Key Campbell,Maricopa,AZ
shiloh-treatment-center-brazoria-texas-29,Shiloh Treatment Center,Shiloh Treatment Center,Brazoria,TX
shenendoah-valley-juvenile-center-augusta-virginia-30,Shenendoah Valley Juvenile Center,Shenendoah Valley Juvenile Center,Augusta,VA
la-salle-county-regional-detention-center-la-salle-texas-31,La Salle County Regional Detention Center,La Salle County Regional Detention Center,La Salle,TX
alice-peterson-residence-maricopa-arizona-32,Alice Peterson Residence,Alice Peterson Residence,Maricopa,AZ
dorothy-mitchell-residence-maricopa-arizona-33,Dorothy Mitchell Residence,Dorothy Mitchell Residence,Maricopa,AZ
msgr-bryan-walsh-s-children-s-village-miami-dade-florida-34,Msgr. Bryan Walsh's Children's Village,Msgr. Bryan Walsh's Children's Village,Miami-Dade,FL
board-of-childcare-baltimore-maryland-35,Board of Childcare,Board of Childcare,Baltimore,MD
brazoria-county-youth-homes-brazoria-texas-36,Brazoria County Youth Homes,Brazoria County Youth Homes,Brazoria,TX
galveston-multicultural-institute-galveston-texas-37,Galveston Multicultural Institute,Galveston Multicultural Institute,Galveston,TX
the-pelican-island-center-galveston-texas-38,The Pelican Island Center,The Pelican Island Center,Galveston,TX
bethany-children-s-home-berks-pennsylvania-39,Bethany Children's Home,Bethany Children's Home,Berks,PA
yolo-county-juvenile-detention-center-yolo-california-40,Yolo County Juvenile Detention Center,Yolo County Juvenile Detention Center,Yolo,CA
children-s-home-of-kingston-ulster-new-york-41,Children's Home of Kingston,Children's Home of Kingston,Ulster,NY
leake-and-watts-passages-of-hope-westchester-new-york-42,Leake and Watts Passages of Hope,Leake and Watts Passages of Hope,Westchester,NY
griffin-home-residential-programs--maceachern-house-washington-43,Griffin Home Residential Programs - Maceachern House,Griffin Home Residential Programs - Maceachern House,,WA
his-house-children-s-home-miami-dade-florida-44,His House Children's Home,His House Children's Home,Miami-Dade,FL
homestead-temporary-shelter-for-unaccompanied-children-florida-45,Homestead Temporary Shelter for Unaccompanied Children,Homestead Temporary Shelter for Unaccompanied Children,,FL
holy-family-institute-allegheny-pennsylvania-46,Holy Family Institute,Holy Family Institute,Allegheny,PA
inwood-house-the-children-s-village-bronx-new-york-47,Inwood House The Children's Village,Inwood House/The Children's Village,Bronx,NY
mcallen-station-hildago-texas-48,McAllen Station,McAllen Station,Hildago,TX
lincoln-hall-lincolndale-new-york-49,Lincoln Hall,Lincoln Hall,Lincolndale,NY
safe-haven-new-york-50,Safe Haven,Safe Haven,,NY
bokenkamp-children-s-shelter-nueces-texas-51,Bokenkamp Children's Shelter,Bokenkamp Children's Shelter,Nueces,TX
mercy-first-nassau-new-york-52,Mercy First,Mercy First,Nassau,NY
morrison-paso-staff-secure-multnomah-oregon-53,Morrison Paso Staff Secure,Morrison Paso Staff Secure,Multnomah,OR
morrison-knott-street-multnomah-oregon-54,Morrison Knott Street,Morrison Knott Street,Multnomah,OR
nuevo-amanecer-latino-children-s-services-los-angeles-california-55,Nuevo Amanecer Latino Children's Services,Nuevo Amanecer Latino Children's Services,Los Angeles,CA
neighbor-to-family--mia-office-broward-florida-56,Neighbor to Family Miami,Neighbor to Family - MIA (office),Broward,FL
neighbor-to-family--atl-office-fulton-georgia-57,Neighbor to Family Atlanta,Neighbor to Family - ATL (office),Fulton,GA
new-hope-children-s-shelter-hildago-texas-58,New Hope Children's Shelter,New Hope Children's Shelter,Hildago,TX
noank-community-support-services-office-new-london-connecticut-59,Noank Community Support Services,Noank Community Support Services (office),New London,CT
pioneer-human-services-pierce-washington-60,Pioneer Human Services,Pioneer Human Services,Pierce,WA
seton-home-bexar-texas-61,Seton Home,Seton Home,Bexar,TX
st-peter-st-joseph-s-children-s-home-bexar-texas-62,St. Peter St. Joseph's Children's Home,St. Peter St. Joseph's Children's Home,Bexar,TX
tumbleweed-shelter-for-youth-maricopa-arizona-63,Tumbleweed Shelter For Youth,Tumbleweed Shelter For Youth,Maricopa,AZ
elizabeth-contract-detention-facility-union-new-jersey-64,Elizabeth Contract Detention Facility,Elizabeth Contract Detention Facility,Union,NJ
youth-for-tomorrow-prince-william-virginia-65,Youth for Tomorrow,Youth for Tomorrow,Prince William,VA
karnes-county-residential-center-66,Karnes County Residential Center,Karnes County Residential Center,,
assessment-center-of-tarrant-county-67,Assessment Center of Tarrant County,Assessment Center of Tarrant County,,
bcfs-baptist-child-and-home-ministries-bexas-texas-68,BCFS Baptist Child and Home Ministries,BCFS Baptist Child and Home Ministries,Bexas,TX
bcfs-hhs-international-children-s-services-emergency-69,BCFS HHS International Children's Services Emergency,BCFS HHS International Children‰Ûªs Services Emergency,,
bcfs-hhs-international-children-s-services-emergency-70,BCFS HHS International Children's Services Emergency,BCFS HHS International Children's Services Emergency,,
bcfs-hhs-international-children-s-services-71,BCFS -HHS International Children's Services,BCFS -HHS International Children's Services,,
bcfs-international-children-s-shelter-72,BCFS International Children's Shelter,BCFS International Children's Shelter,,
bchm-region-children-s-assessment-center-73,BCHM Region Children's Assessment Center,BCHM Region Children's Assessment Center,,
southwest-key-houston-74,Southwest Key Houston,Southwest Key Houston,,
st-michaels-home-for-children-75,St. Michaels Home for Children,St. Michaels Home for Children,,
st-michaels-home-for-children-ii-76,St. Michaels Home for Children II,St. Michaels Home for Children II,,
