DETLOC,Name,OrigName,County,State
CHACONY,CHAUTAUQUA COUNTY JAIL,CHAUTAUQUA COUNTY JAIL,CHAUTAUQUA,NY
CHARLSC,CHARLESTON COUNTY DETENTION CENTER,CHARLESTON COUNTY DETENTION CENTER,CHARLESTON,SC
CHASEKS,CHASE COUNTY DETENTION FACILITY,CHASE COUNTY DETENTION FACILITY,CHASE,KS
CHIPPMI,CHIPPEWA COUNTY Jail,CHIPPEWA COUNTY SSM,CHIPPEWA,MI
CHRISMO,CHRISTIAN COUNTY JAIL,CHRISTIAN COUNTY JAIL,CHRISTIAN,MO
CIBOCNM,CIBOLA COUNTY CORRECTIONAL CENTER,CIBOLA COUNTY CORRECTIONAL CENTER,CIBOLA,NM
CKHOSFL,COLUMBIA KENDAL HOSPITAL,COLUMBIA KENDAL HOSPITAL,MIAMI-DADE,FL
CLAYCIN,CLAY COUNTY JAIL,CLAY COUNTY JAIL,CLAY,IN
CLICONY,CLINTON COUNTY JAIL,CLINTON COUNTY JAIL,CLINTON,NY
CLINTPA,CLINTON COUNTY CORRECTIONAL FACILITY,CLINTON COUNTY CORRECTIONAL FACILITY,CLINTON,PA
COBBJGA,COBB COUNTY JAIL,COBB COUNTY JAIL,COBB,GA
COLCASC,COLUMBIA CARE CENTER,COLUMBIA CARE CENTER,RICHLAND,SC
COLLIFL,COLLIER COUNTY NAPLES JAIL CENTER,COLLIER COUNTY NAPLES JAIL CENTER,COLLIER,FL
COLUMOR,COLUMBIA COUNTY JAIL,COLUMBIA COUNTY JAIL,COLUMBIA,OR
COMFTFL,COMFORT SUITES HOTEL,COMFORT SUITES HOTEL,MIAMI-DADE,FL
CONCOCA,CONTRA COSTA COUNTY JAIL,CONTRA COSTA COUNTY JAIL,CONTRA COSTA,CA
CONWECA,CONTRA COSTA COUNTY JAIL WEST,CONTRA COSTA COUNTY JAIL WEST,CONTRA COSTA,CA
COWJVWA,COWLITZ COUNTY JUVENILE,COWLITZ COUNTY JUVENILE,COWLITZ,WA
CRYCCTX,CRYSTAL CITY CORRECTIONAL CENTER,CRYSTAL CITY CORRECTIONAL CENTER,ZAVALA,TX
CSCNWWA,NORTHWEST DETENTION CENTER,NORTHWEST DETENTION CENTER,PIERCE,WA
CUMBEME,CUMBERLAND COUNTY JAIL,CUMBERLAND COUNTY JAIL,CUMBERLAND,ME
DAKOTNE,DAKOTA COUNTY JAIL,DAKOTA COUNTY JAIL,DAKOTA,NE
DALCOTX,LEW STERRETT JUSTICE CENTER,DALLAS COUNTY JAIL - LEW STERRETT JUSTICE CENTER,DALLAS,TX
DALHOLD,DALLAS FIELD OFFICE HOLD ROOM,DALLAS FIELD OFFICE HOLD ROOM,DALLAS,TX
DAVIDTN,DAVIDSON COUNTY SHERIFF,DAVIDSON COUNTY SHERIFF,DAVIDSON,TN
DEAPDMI,DEARBORN POLICE DEPARTMENT,DEARBORN POLICE DEPARTMENT,WAYNE,MI
DEKALAL,DEKALB COUNTY DETENTION CENTER,DEKALB COUNTY DETENTION CENTER,DEKALB,AL
DELAWPA,DELAWARE County jail,DELAWARE CO JAIL (GEORGE W. HILL),DELAWARE,PA
DENHOLD,DENVER HOLD ROOM,DENVER HOLD ROOM,DENVER,CO
DENICDF,DENVER CONTRACT DETENTION FACILITY,DENVER CONTRACT DETENTION FACILITY,ARAPAHOE,CO
DHDFNJ,DELANEY HALL DETENTION FACILITY,DELANEY HALL DETENTION FACILITY,NEWARK,NJ
DLRHOLD,DEL RIO HOLD ROOM,DEL RIO HOLD ROOM,VAL VERDE,TX
DOCORNE,DOUGLAS COUNTY DEPARTMENT OF CORRECTIONS,DOUGLAS COUNTY DEPARTMENT OF CORRECTIONS,DOUGLAS,NE
DODGEWI,DODGE COUNTY JAIL,DODGE COUNTY JAIL,DODGE,WI
DONAANM,DONA ANA COUNTY DETENTION CENTER,DONA ANA COUNTY DETENTION CENTER,DONA ANA,NM
DSRTVCA,DESERT VALLEY HOSPITAL,DESERT VALLEY HOSPITAL,COUNTY,CA
EAZ,ELOY FEDERAL CONTRACT FACILITY,ELOY FEDERAL CONTRACT FACILITY,PINAL,AZ
ECC,EL CENTRO SERVICE PROCESSING CENTER,EL CENTRO SERVICE PROCESSING CENTER,IMPERIAL,CA
EHDLGTX,EAST HIDALGO DETENTION CENTER,EAST HIDALGO DETENTION CENTER,HIDALGO,TX
ELGPDIL,ELGIN POLICE DEPARTMENT,ELGIN POLICE DEPARTMENT,KANE,IL
ELMORID,ELMORE COUNTY JAIL,ELMORE COUNTY JAIL,ELMORE,ID
ELPASCO,EL PASO COUNTY CRIMINAL JUSTICE CENTER,EL PASO COUNTY CRIMINAL JUSTICE CENTER,EL PASO,CO
ELPHOLD,EL PASO HOLD ROOM,EL PASO HOLD ROOM,EL PASO,TX
ELZICDF,ELIZABETH CONTRACT DETENTION FACILITY,ELIZABETH CONTRACT DETENTION FACILITY,UNION,NJ
EPC,EL PASO SERVICE PROCESSING CENTER,EL PASO SERVICE PROCESSING CENTER,EL PASO,TX
EPCJUVI,EL PASO JUVENILE,EL PASO JUVENILE,EL PASO,TX
ERICOPA,ERIE COUNTY JAIL,ERIE COUNTY JAIL,ERIE,PA
ESSEXNJ,ESSEX COUNTY CORRECTIONAL FACILITY,ESSEX COUNTY CORRECTIONAL FACILITY,ESSEX,NJ
ETOWAAL,ETOWAH COUNTY JAIL,ETOWAH COUNTY JAIL (ALABAMA),ETOWAH,AL
EULESTX,EULESS CITY JAIL,EULESS CITY JAIL,TARRANT,TX
FAYETKY,FAYETTE COUNTY DETENTION CENTER,FAYETTE COUNTY DETENTION CENTER,FAYETTE,KY
FLO,FLORENCE SERVICE PROCESSING CENTER,FLORENCE SERVICE PROCESSING CENTER,PINAL,AZ
FORSYNC,FORSYTH COUNTY JAIL,FORSYTH COUNTY JAIL,FORSYTH,NC
FREDEMD,FREDERICK COUNTY DETENTION CENTER,FREDERICK COUNTY DETENTION CENTER,FREDERICK,MD
FREEBMN,FREEBORN COUNTY ADULT DETENTION CENTER,FREEBORN COUNTY ADULT DETENTION CENTER,FREEBORN,MN
FREHOLD,FRESNO HOLDROOM,FRESNO HOLDROOM,FRESNO,CA
FREMOCO,FREMONT COUNTY JAIL,FREMONT COUNTY JAIL (COLORADO),FREMONT,CO
FRMVLVA,IMMIGRATION CENTERS OF AMERICA FARMVILLE,IMMIGRATION CENTERS OF AMERICA FARMVILLE,PRINCE EDWARD,VA
FSF,FLORENCE STAGING FACILITY,FLORENCE STAGING FACILITY,PINAL,AZ
FXADCVA,FAIRFAX COUNTY ADULT DETENTION CENTER,FAIRFAX COUNTY ADULT DETENTION CENTER,FAIRFAX,VA
GARVIOK,GARVIN COUNTY DETENTION CENTER,GARVIN COUNTY DETENTION CENTER,GARVIN,OK
GEAUGOH,GEAUGA COUNTY JAIL,GEAUGA COUNTY JAIL,GEAUGA,OH
GFCORND,GRAND FORKS COUNTY CORRECTIONAL FACILITY,GRAND FORKS COUNTY CORRECTIONAL FACILITY,GRAND FORKS,ND
GLADEFL,GLADES COUNTY DETENTION CENTER,GLADES COUNTY DETENTION CENTER,GLADES,FL
GRAYSKY,GRAYSON COUNTY JAIL,GRAYSON COUNTY JAIL,GRAYSON,KY
GREENMA,FRANKLIN COUNTY HOUSE OF CORRECTION,FRANKLIN COUNTY HOUSE OF CORRECTION,FRANKLIN,MA
HALLJGA,HALL COUNTY JAIL,HALL COUNTY JAIL,HALL,GA
HARDJIA,HARDIN COUNTY JAIL,HARDIN COUNTY JAIL,HARDIN,IA
HASHENE,HALL COUNTY DEPARTMENT OF CORRECTIONS,HALL COUNTY DEPARTMENT OF CORRECTIONS,HALL,NE
HASKLTX,ROLLING PLAINS DETENTION CENTER,ROLLING PLAINS DETENTION CENTER,HASKELL,TX
HCPSYTX,HARRIS COUNTY PSYCHIATRIC CENTER,HARRIS COUNTY PSYCHIATRIC CENTER,HARRIS,TX
HENDENC,HENDERSON COUNTY DETENTION FACILITY,HENDERSON COUNTY DETENTION FACILITY,HENDERSON,NC
HENDENV,HENDERSON DETENTION CENTER,HENDERSON DETENTION CENTER,CLARK,NV
HIDALTX,HIDALGO COUNTY JAIL,HIDALGO COUNTY JAIL,HIDALGO,TX
HLGHOLD,HARLINGEN HOLD ROOM,HARLINGEN HOLD ROOM,CAMERON,TX
HMCHOTX,HARLINGEN MEDICAL CENTER,HARLINGEN MEDICAL CENTER,CAMERON,TX
HOUHOLD,HOUSTON FIELD OFFICE HOLD ROOM,HOUSTON FIELD OFFICE HOLD ROOM,HARRIS,TX
HOUICDF,HOUSTON CONTRACT DETENTION FACILITY,HOUSTON CONTRACT DETENTION FACILITY,HARRIS,TX
HOWARMD,HOWARD COUNTY DETENTION CENTER,HOWARD COUNTY DETENTION CENTER,HOWARD,MD
HPBRGTX,HOPEBRIDGE HOSPITAL,HOPEBRIDGE HOSPITAL,HARRIS,TX
HRREGVA,HAMPTON ROADS REGIONAL JAIL,HAMPTON ROADS REGIONAL JAIL,PORTSMOUTH CITY,VA
HUDSONJ,HUDSON COUNTY CORRECTIONAL CENTER,HUDSON COUNTY CORRECTIONAL CENTER,HUDSON,NJ
IEPHOLD,ICE EL PASO HOLD ROOM,ICE EL PASO HOLD ROOM,EL PASO,TX
IRADFCA,IMPERIAL REGIONAL DETENTION FACILITY,IMPERIAL REGIONAL DETENTION FACILITY,IMPERIAL,CA
IRWINGA,IRWIN COUNTY DETENTION CENTER,IRWIN COUNTY DETENTION CENTER,IRWIN,GA
IWAHOLD,AROCC,AZ REM OP COORD CENTER (AROCC),MARICOPA,AZ
JAMESGA,FOLKSTON ICE PROCESSING CENTER,FOLKSTON ICE PROCESSING CENTER (D. RAY JAMES),CHARLTON,GA
JEFFEID,JEFFERSON COUNTY JAIL,JEFFERSON COUNTY JAIL,JEFFERSON,ID
JENADLA,JENA/LASALLE DETENTION FACILITY,JENA/LASALLE DETENTION FACILITY,LA SALLE,LA
JENATLA,ALEXANDRIA STAGING FACILITY,ALEXANDRIA STAGING FACILITY,COUNTY,LA
JHRWLTX,JACK HARWELL DETENTION CENTER,JACK HARWELL DETENTION CENTER,MCLENNAN,TX
JOHNSTX,JOHNSON COUNTY CORRECTIONS CENTER,JOHNSON COUNTY CORRECTIONS CENTER,JOHNSON,TX
JOSEPOR,JOSEPHINE COUNTY JAIL,JOSEPHINE COUNTY JAIL,JOSEPHINE,OR
KANDIMN,KANDIYOHI COUNTY JAIL,KANDIYOHI COUNTY JAIL,KANDIYOHI,MN
KANKEIL,KANKAKEE COUNTY JAIL,KANKAKEE COUNTY JAIL (JEROME COMBS DET CTR),KANKAKEE,IL
KARNETX,KARNES COUNTY CORRECTIONAL CENTER,KARNES COUNTY CORRECTIONAL CENTER,KARNES,TX
KCCDCTX,KARNES COUNTY RESIDENTIAL CENTER,KARNES COUNTY RESIDENTIAL CENTER,KARNES,TX
KCCDCTX,KARNES COUNTY CIVIL DETENTION CENTER,KARNES COUNTY CIVIL DETENTION CENTER,KARNES,TX
KENOSWI,KENOSHA COUNTY DETENTION CENTER,KENOSHA COUNTY DETENTION CENTER,KENOSHA,WI
KENTCMI,KENT COUNTY JAIL,KENT COUNTY JAIL,KENT,MI
KRO,KROME NORTH SERVICE PROCESSING CENTER,KROME NORTH SERVICE PROCESSING CENTER,MIAMI-DADE,FL
LAPAZAZ,LA PAZ COUNTY ADULT DETENTION FACILITY,LA PAZ COUNTY ADULT DETENTION FACILITY,LA PAZ,AZ
LASALTX,LASALLE COUNTY JAIL,LASALLE COUNTY JAIL,LA SALLE,TX
LEXINSC,LEXINGTON COUNTY JAIL,LEXINGTON COUNTY JAIL,LEXINGTON,SC
LINCOMO,LINCOLN COUNTY DETENTION CENTER,LINCOLN COUNTY DETENTION CENTER,LINCOLN,MO
LINNJIA,LINN COUNTY JAIL,LINN COUNTY JAIL,LINN,IA
LIVINNY,LIVINGSTON COUNTY JAIL,LIVINGSTON COUNTY JAIL,LIVINGSTON,NY
LONPDAR,LONOKE POLICE DEPARTMENT,LONOKE POLICE DEPARTMENT,LONOKE,AR
LOSHOLD,LOS ANGELES CUSTODY CASE,LOS ANGELES CUSTODY CASE,LOS ANGELES,CA
LRDICDF,LAREDO PROCESSING CENTER,LAREDO PROCESSING CENTER,WEBB,TX
LRKNHFL,LARKIN HOSPITAL,LARKIN HOSPITAL,MIAMI-DADE,FL
LSFHOLD,LOS FRESNOS HOLD ROOM,LOS FRESNOS HOLD ROOM,CAMERON,TX
LSRDCTX,LA SALLE COUNTY REGIONAL DETENTION CENTER,LA SALLE COUNTY REGIONAL DETENTION CENTER,LA SALLE,TX
LUBBOTX,LUBBOCK COUNTY DETENTION CENTER,LUBBOCK COUNTY DETENTION CENTER,LUBBOCK,TX
MABSHOS,BRIDGEWATER STATE HOSPITAL,BRIDGEWATER STATE HOSPITAL,PLYMOUTH,MA
MARIOIN,MARION COUNTY JAIL,MARION COUNTY JAIL,MARION,IN
MARSHIA,MARSHALL COUNTY JAIL,MARSHALL COUNTY JAIL,MARSHALL,IA
MCFAJAZ,MARICOPA COUNTY JAIL,MARICOPA COUNTY JAIL,MARICOPA,AZ
MCHENIL,MCHENRY COUNTY CORRECTIONAL FACILITY,MCHENRY COUNTY CORRECTIONAL FACILITY,MCHENRY,IL
MECKLNC,MECKLENBURG COUNTY DETENTION CENTER NORTH,MECKLENBURG COUNTY DETENTION CENTER NORTH,MECKLENBURG,NC
MIAHOLD,MIAMI DISTRICT,MIAMI DISTRICT,MIAMI-DADE,FL
MILLRAR,MILLER COUNTY JAIL,MILLER COUNTY JAIL,MILLER,AR
MINICID,MINICASSIA DETENTION CENTER,MINICASSIA DETENTION CENTER,CASSIA,ID
MIRPNOG,NOGALES PROCESSING CENTER,NOGALES PROCESSING CENTER,SANTA CRUZ,AZ
MISCOMO,MISSISSIPPI COUNTY DETENTION CENTER,MISSISSIPPI COUNTY DETENTION CENTER,MISSISSIPPI,MO
MNROEMI,MONROE COUNTY DETENTION MAIN,MONROE COUNTY DETENTION MAIN,MONROE,MI
MNTGMAL,MONTGOMERY CITY JAIL,MONTGOMERY CITY JAIL,MONTGOMERY,AL
MOFFECO,MOFFAT COUNTY JAIL,MOFFAT COUNTY JAIL,MOFFAT,CO
MONROFL,MONROE COUNTY DETENTION CENTER,MONROE COUNTY DETENTION CENTER,MONROE,FL
MONROMI,MONROE COUNTY DETENTION-DORM,MONROE COUNTY DETENTION-DORM,MONROE,MI
MONTGMO,MONTGOMERY COUNTY JAIL,MONTGOMERY COUNTY JAIL,MONTGOMERY,MO
MONTGPA,MONTGOMERY COUNTY CORRECTIONAL FACILITY,MONTGOMERY COUNTY CORRECTIONAL FACILITY,MONTGOMERY,PA
MONTGTX,JOE CORLEY DETENTION FACILITY,JOE CORLEY DETENTION FACILITY,MONTGOMERY,TX
MORGNMO,MORGAN COUNTY ADULT DETENTION CENTER,MORGAN COUNTY ADULT DETENTION CENTER,MORGAN,MO
MOROWOH,MORROW COUNTY CORRECTIONAL FACILITY,MORROW COUNTY CORRECTIONAL FACILITY,MORROW,OH
MSF,MIAMI STAGING FACILITY,MIAMI STAGING FACILITY,MIAMI-DADE,FL
MUSIKCA,JAMES A. MUSICK FACILITY,JAMES A. MUSICK FACILITY,ORANGE,CA
NATROWY,NATRONA COUNTY JAIL,NATRONA COUNTY JAIL,NATRONA,WY
NEWHOLD,NEWark HOLD ROOM,NEW/INS OS HOLD ROOM,ESSEX,NJ
