lat,lon,DETLOC
33.21528,-97.11199,DENTOTX
40.38172,-76.018363,BERKSPA
41.675975,-86.252051,STJOSIN
26.478305,-80.079351,GLADEF2
48.373289,-114.183213,CFALSMT
42.887987,-78.877725,BUFHOLD
43.152965,-77.614545,MONRONY
61.21864,-149.85856,AKCOOKI
39.327667,-94.935501,BOPLVN
31.842282,-103.088782,WINCOTX
36.357425,-94.228989,BENTOAR
33.737901,-118.305553,SPHOSCA
26.121832,-80.158437,FTLAUFL
26.681933,-80.251446,PWHOSFL
26.156904,-97.710323,STHOSTX
38.228305,-78.117423,CVREGVA
39.154479,-75.487962,DVDHOLD
44.788235,-69.730034,SOMERME
34.147078,-118.248923,GLEPDCA
38.474198,-77.99681,CULPEVA
33.578609,-102.377737,HOKLYTX
41.50876,-90.581441,RCKISIL
25.459728,-80.493501,DADECFL
42.981885,-85.061803,IONIAMI
39.737347,-104.991575,DENCICO
25.811648,-80.348638,BOPMIA
39.206827,-95.311336,JEFFEKS
40.491585,-111.4119,WASATUT
41.422356,-75.647859,LACKAPA
43.080705,-75.707453,MADISNY
47.478771,-122.284152,ECOLOWA
39.245742,-94.419427,CLACOMO
44.943831,-93.092953,RAJAIMN
43.000862,-78.19385,GENESNY
44.414611,-103.515531,MEADESD
25.787594,-80.215003,CEMEDFL
25.787594,-80.215003,UMIAHFL
42.500678,-96.404997,SXCHOLD
41.313975,-81.737186,NOROYOH
25.79524,-80.207017,WDMIAFL
26.156896,-97.710327,RGHOSTX
32.94402,-103.342405,LEACONM
44.532144,-109.060768,PARKCWY
47.171977,-122.602574,WAMCNEI
37.079002,-106.00492,CONEJCO
39.429059,-77.949736,WVEASTR
46.721847,-92.097951,DOUGLWI
39.198487,-78.146401,NWREGVA
39.198487,-78.146401,CFREDVA
32.723866,-114.623297,YUMAJAZ
39.519917,-122.199577,GLENNCA
37.694718,-97.339496,SEDGWKS
29.574893,-95.753772,FTBENTX
30.032434,-92.176655,VERMILA
33.39273,-110.777248,GIJUVAZ
38.890046,-77.083662,ARLCOVA
40.667975,-73.798131,HOLINNY
48.552963,-109.706549,HILLCMT
43.968203,-111.6807,FREMOID
39.59684,-78.753103,BOPCUM
26.181372,-98.139197,HOSPSPR
48.365698,-119.58164,OKANOWA
37.132993,-107.633162,SOUTECO
45.061416,-92.84736,WAJUVMN
47.625111,-122.321028,AROOSME
43.826734,-111.778072,MADISID
42.779544,-96.93645,CLACOSD
42.852063,-106.324939,CSPHOLD
40.713055,-74.001308,BOPNYM
39.7095,-104.791098,AURORCO
40.794424,-73.883997,RIKISNY
42.277476,-85.548217,KALAMMI
30.593393,-87.897945,DAPHNAL
33.0297,-84.329242,GABAPGA
42.74385,-78.132652,WYMCONY
33.977986,-117.65062,CAYTHGS
36.2197,-115.982888,NYEPANV
32.717064,-109.727016,BOPSAF
30.474525,-84.350983,TALHOLD
46.015268,-112.538768,SILBOMT
37.764806,-90.438798,STFRAMO
41.540658,-96.135149,WASHINE
35.321362,-120.72905,SLOBICA
35.042547,-85.276695,HAMILTN
26.101934,-80.142373,BRGMCFL
38.290962,-104.62762,COMHICO
32.554014,-97.110935,MANSFTX
32.22874,-111.001362,STMARAZ
34.063436,-118.205833,ELJUVCA
25.790555,-80.21497,JMHOSFL
41.90122,-87.883828,STOPDIL
28.481015,-82.461853,HERNAFL
42.367389,-85.194996,BHFLDMI
48.649506,-118.733681,FERRYWA
35.149645,-90.051203,USMWDTN
44.099225,-103.264652,RPCHOLD
47.451997,-122.295535,RRFINWA
13.444257,144.786297,DEPYOGU
39.959492,-75.606033,CHESTPA
37.238597,-87.465432,LSHOSMA
41.391967,-75.073669,PKEHOLD
32.275889,-107.77686,LUNCONM
32.226754,-101.516395,BSCHOLD
37.548158,-77.422476,RICHMVA
42.686609,-74.918022,OTSEGNY
31.396802,-103.502757,PECOSTX
34.051014,-118.217417,WMHOSCA
39.109423,-119.738347,NVNORCC
41.826014,-103.660426,SCOTTNE
32.468207,-81.761834,BULLOGA
35.505599,-119.108574,KERCOCA
35.020777,-94.38913,HARFOCT
42.658805,-88.464512,WALWOWI
40.013873,-105.287301,BOULDCO
41.369853,-82.110202,ELYRIOH
44.254955,-105.518371,TETONWY
46.266188,-106.672947,ROSEBMT
32.879519,-111.749695,CGRMCAZ
26.470653,-97.76112,WILLCTX
32.261565,-101.498192,BSNTRTX
40.264072,-83.363439,FIVECOH
40.657137,-73.765714,QUEICDF
25.75506,-80.437893,KROHOLD
33.869541,-117.808245,STMARCA
34.009941,-81.039405,COAHOLD
42.326912,-87.856023,NOCPDIL
25.784623,-80.225672,HVHOSFL
